time_s,total_Fx_N_min,total_Fx_N_max,total_Fx_N_valid_scenarios,total_Fz_N_min,total_Fz_N_max,total_Fz_N_valid_scenarios,left_ankle_Nm_min,left_ankle_Nm_max,left_ankle_Nm_valid_scenarios,left_knee_Nm_min,left_knee_Nm_max,left_knee_Nm_valid_scenarios,left_hip_Nm_min,left_hip_Nm_max,left_hip_Nm_valid_scenarios,right_ankle_Nm_min,right_ankle_Nm_max,right_ankle_Nm_valid_scenarios,right_knee_Nm_min,right_knee_Nm_max,right_knee_Nm_valid_scenarios,right_hip_Nm_min,right_hip_Nm_max,right_hip_Nm_valid_scenarios
1.1607,34.81342439238542,60.3573950752751,15,846.148009244403,945.3911493514995,15,-36.23162602208024,12.508634078358149,14,55.46239977979311,76.23121669568725,14,-72.16252666059651,-3.869799743088656,14,-12.963657038422978,0.22308893858302525,14,-13.471627705570691,-2.5866428931393557,14,-65.01338946146896,-0.17629071111624306,14
1.194033,40.57951752229328,65.63714361932122,15,843.3339048064493,942.2566686483514,15,-37.817908144157094,12.523734977691333,14,51.81674201094323,75.24814307686486,14,-86.23133880063189,-10.838968695798094,14,-9.833324814070734,0.2518652837484048,14,-10.836035939356526,-1.6521796539593954,14,-58.03049804019335,14.534581534452807,14
1.227367,41.870761354943106,66.89395280066957,15,836.7322423192984,934.9061518926162,15,-38.08786922664066,12.3088671564404,14,47.05856678583531,71.71631188850435,14,-95.10294599162188,-14.777166732838385,14,-8.363600900606572,0.3137895158747393,14,-9.414367464706284,-0.5148191982321902,14,-54.84993441318383,18.3794241348858,14
1.2607,38.07476783586032,64.25353509303197,15,829.332332457489,926.6667592330441,15,-38.04034984918575,11.91218367237229,14,40.60610923580859,66.1449498345794,14,-98.23574735593729,-17.549155307347924,14,-8.923637045310402,0.22045269042670393,14,-9.896509681177278,-0.7149675183377958,14,-54.059121854062255,17.17462979942003,14
1.294033,33.161267498774606,48.97353965209441,15,818.4415171194191,914.5220516096889,15,-36.26759830171933,11.293791525351878,14,34.858588537557644,59.387005311237,14,-89.67885892685229,-15.33535015381172,14,-10.059518774079804,0.045498405722142365,14,-10.915273294328852,-2.508372012619251,14,-57.105647152298474,-4.897922716416185,14
1.327367,3.926646033246852,28.711438356939016,15,813.5406889723394,909.0526332825873,15,-30.873528372674958,10.057607427078668,14,31.65530133773431,50.351102892066635,14,-64.56290977418698,-3.833930954457024,14,-17.87953016694674,0.3860261065732473,14,-15.742987276087304,-0.5207863202500342,14,-69.0575020369107,-30.57948549663313,14
1.3607,1.0397656961296375,16.250963585639116,15,807.8746531696244,902.7455834719888,15,-79.88406067258026,8.126274726683077,15,-3.0393875812609537,39.20024241946325,15,-100.99025590035926,7.864356636672437,15,-20.655519346589323,1.3584542801940174,15,-19.07002852357015,4.3787918421001235,15,-80.05904987061835,-4.402924962741054,15
1.394033,-9.24127779329091,7.312456605211867,15,799.7084633280581,893.6410275493313,15,-74.21090434476011,7.099686635513837,15,-1.7325201232032512,33.34850673555339,15,-87.90811315315153,11.322749737139173,15,-23.95833938349441,1.9289536926591708,15,-21.01570753291991,6.335041870112043,15,-81.8947117386913,-18.459512821688314,15
1.427356,-17.3234404480901,-1.91636170633646,15,796.7318926848315,890.3264582998984,15,-71.11581313787781,6.45298710523347,15,-1.5737308878988827,31.140086096201458,15,-81.5669460565737,12.822994898686243,15,-25.980656887164308,2.270907478490507,15,-22.535984158594704,6.951716212217134,15,-83.67778551451065,-26.578152687236337,15
1.460689,-13.88754437834121,4.088351984059139,15,802.3823907203202,896.6278797453375,15,-74.91690067316222,6.995120514451466,15,-3.861139501369923,32.586388566377124,15,-91.50600049344989,10.611665929215748,15,-24.06782622109749,2.264635195243841,15,-22.761844407173673,4.107390246857786,15,-83.57029868309266,-20.299538401823696,15
1.494022,-6.552664079086126,6.9102612484099994,15,819.6671875790438,915.8885416164915,15,-83.17877684068918,8.135348567420582,15,-7.7995667244942695,38.802716121446494,15,-110.72220265668345,5.457044336887888,15,-20.48011758103721,1.8201414193657683,15,-21.982828259500632,-0.35744536631425294,15,-83.21144132935622,-5.151534982283277,15
1.527356,-0.1519180318664797,16.312874450142818,15,856.6693823566858,957.1729495481973,15,-95.60956778877764,9.53080902796691,15,-13.893026854791344,46.65408265280874,15,-138.23486087539564,-2.27858573558618,15,-18.142437649031972,1.2345267049562523,15,-20.31728253488902,0.2295594883586991,15,-83.28266696174525,16.251057612009937,15
1.560689,12.69140997703898,25.08530300478283,15,884.908526790674,988.6599530717315,15,-33.66341703675142,10.155698760884963,14,31.600771139274862,51.53078948488816,14,-67.88921595320261,-3.205529802982767,14,-15.806205269951773,1.1854077527279863,14,-21.310548385702365,-7.745291345927601,14,-85.90964992369902,-38.83413249668784,14
1.594022,11.289111973332517,34.56657042225694,15,913.8765638423653,1020.9939855005141,15,-35.26836089063436,10.691805038998357,14,35.51466758340126,56.289001342539805,14,-73.67479326401738,0.026341702031160708,14,-16.693256933885948,1.03008666149519,14,-25.043015070086582,-10.623278796804842,14,-90.97996674485033,-31.456763136924728,14
1.627356,9.994934562314707,35.17740159952852,15,926.3012238708686,1034.8871580361133,15,-35.34191591229053,11.463815173727458,14,40.5436274345349,62.11967408743307,14,-62.235506222868636,6.690373942684154,14,-17.361381000114804,0.2177684983253556,14,-28.661246248020575,-16.080405784145825,14,-95.48982522984811,-34.54642238453681,14
1.660689,8.004885684831942,27.537237104155732,15,921.7550469678578,1029.8519507633555,15,-95.82812867298117,11.728538833281334,15,9.665940246847192,65.94984257485045,15,-91.51757045350497,19.6790616509766,15,-17.503822004447883,0.045571752636895335,15,-30.5243472984726,-2.06960074284196,15,-104.30005121511478,13.865851665882815,15
1.694022,7.158978687058433,12.050228357165954,15,901.6019042732084,1007.3985411417984,15,-85.78680906124598,12.190026870098709,15,19.82919369838337,66.45478356223765,15,-56.996568159016945,32.570121250186794,15,-19.291351261641786,-2.8652229155536943,15,-37.536705176974024,-9.938948508905508,15,-112.04331715330905,-1.8705663790667302,15
1.727356,-4.56151675549717,4.949058004161337,15,875.8071948747057,978.6556828717534,15,-79.73179361234206,11.545131524698249,15,22.009327905740946,60.87467601922043,15,-34.86628915348302,37.923937821221614,15,-21.96690609249342,-3.61433449857077,15,-42.94936808353024,-13.819155236957759,15,-116.0853502986422,-9.186161006016965,15
1.760678,-27.469737561115668,0.3068871036566809,15,844.5911790660573,943.870916083597,15,-76.01899508331775,9.973962068100638,15,19.899423139828535,54.57252354928417,15,-21.952733569897394,35.93417838170137,15,-26.660543318867862,-3.2493485974022747,15,-47.42994758312328,-13.773267728350199,15,-115.91843501328084,-8.949464512311092,15
1.794011,-23.495685513968116,-5.491255003883689,15,821.6555615495517,918.2979051637093,15,-72.64102739869014,6.882356786409594,15,17.040313068390084,45.321629375990184,15,-12.333667604777474,29.43392629653865,15,-25.805054316505217,-1.9924277219701025,15,-40.97544128703309,-14.441502830509421,15,-117.95406446553861,-10.978349276659095,15
1.827344,-19.963551037207818,-12.754173430632207,15,810.897317914615,906.3188233090283,15,,,1,,,1,,,1,,,1,,,1,,,1
1.860678,-20.471075945921047,-9.204803471985382,15,802.6657956846999,897.1233244192051,15,,,0,,,0,,,0,,,0,,,0,,,0
1.894011,-21.744009470468345,-2.5616222198239518,15,801.2894178540577,895.5444189555565,15,,,0,,,0,,,0,,,0,,,0,,,0
1.927344,-19.07029247434865,-13.136990778814365,15,801.3642864908732,895.5774935063255,15,,,0,,,0,,,0,,,0,,,0,,,0
1.960678,-27.39339629501441,-17.070516259207757,15,781.9354255195854,873.8096738564519,15,,,0,,,0,,,0,,,0,,,0,,,0
1.994011,-29.56784579767589,-16.638555548176758,15,764.0847659710879,853.8206955978629,15,,,1,,,1,,,1,,,1,,,1,,,1
2.027344,-27.901650037935706,-17.0848278556336,15,724.5744407392772,809.6318091799653,15,,,1,,,1,,,1,,,1,,,1,,,1
2.060667,-33.35123470833686,-17.24346805307873,15,675.2148722169054,754.4352943728065,15,,,1,,,1,,,1,,,1,,,1,,,1
2.094,-42.72851933384983,-21.374700522076594,15,623.8823018927051,703.3922081583466,15,,,0,,,0,,,0,,,0,,,0,,,0
